City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
3,Matiari,PK,84.2,overcast clouds,25.5961,68.4467,Zawar Khadim Hussain HOUES
14,Waingapu,ID,88.5,overcast clouds,-9.6567,120.2641,Pondok Wisata Elim
21,Bilma,NE,80.56,clear sky,18.6853,12.9164,Expeditions Ténére voyages
22,Faanui,PF,79.11,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
26,Tautira,PF,78.82,light rain,-17.7333,-149.15,Pension Oaoa
29,Kahului,US,77.85,clear sky,20.8947,-156.47,Maui Seaside Hotel
32,Saint-Pierre,RE,83.57,clear sky,-21.3393,55.4781,Lindsey Hôtel
39,Bambous Virieux,MU,82.65,scattered clouds,-20.3428,57.7575,Casa Tia Villa
43,Vaini,TO,77.16,broken clouds,-21.2,-175.2,Keleti Beach Resort
45,Tual,ID,84.38,broken clouds,-5.6667,132.75,Grand Vilia Hotel
47,Luanda,AO,77.05,overcast clouds,-8.8368,13.2343,Hotel Fórum
57,Kalmunai,LK,84.4,overcast clouds,7.4167,81.8167,VS Villa
60,Quatre Cocos,MU,82.51,few clouds,-20.2078,57.7625,Sunrise Attitude Hotel
64,Ranong,TH,87.73,overcast clouds,9.9658,98.6348,Tinidee Hotel@Ranong
66,Butaritari,KI,82.18,few clouds,3.0707,172.7902,Isles Sunset Lodge
68,Bengkulu,ID,80.85,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
70,Hithadhoo,MV,82.44,broken clouds,-0.6,73.0833,Scoop Guest House
78,Merta,IN,81.77,overcast clouds,26.65,74.0333,V Resorts Ganthiya
80,Port Augusta,AU,84.34,overcast clouds,-32.5,137.7667,Majestic Oasis Apartments
86,Ferkessedougou,CI,75.15,clear sky,9.6,-5.2,Hotel Chateau
91,Atraulia,IN,81.16,overcast clouds,26.3333,82.95,ShivKunj
95,Bubaque,GW,82.56,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
99,Atuona,PF,78.51,scattered clouds,-9.8,-139.0333,Villa Enata
107,Hobyo,SO,83.41,scattered clouds,5.3505,48.5268,Halane Hotel and Restaurent
110,Acajutla,SV,76.96,overcast clouds,13.5928,-89.8275,asi es
114,Veraval,IN,87.33,overcast clouds,20.9,70.3667,Lords Inn Somnath
116,Mildura,AU,85.96,clear sky,-34.2,142.15,Mercure Hotel Mildura
117,Alyangula,AU,87.67,broken clouds,-13.8483,136.4192,Groote Eylandt Lodge
118,Cayenne,GF,76.08,light rain,4.9333,-52.3333,Hôtel Le Dronmi
122,Salalah,OM,83.68,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
125,Hong Gai,VN,82.31,few clouds,20.956,107.0946,Hạ Long DC Hotel
131,Dingle,PH,82.36,light rain,10.9995,122.6711,SEGAYA PROPERTY
132,Mayumba,GA,78.58,overcast clouds,-3.432,10.6554,LIKWALE LODGE
133,Wanning,CN,82.11,scattered clouds,18.8003,110.3967,Paradise Hotel
135,Carnarvon,AU,75.27,clear sky,-24.8667,113.6333,Hospitality Carnarvon
136,Avarua,CK,75.25,few clouds,-21.2078,-159.775,Paradise Inn
138,Les Cayes,HT,76.35,clear sky,18.2,-73.75,Villa Orphee
139,Santa Cruz,BO,76.46,broken clouds,-17.8,-63.1667,Aviador Hotel Boutique
140,Namatanai,PG,83.19,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
141,Jeremie,HT,77.86,clear sky,18.65,-74.1167,Auberge’Inn
143,Padang,ID,75.33,overcast clouds,-0.9492,100.3543,Mercure Padang
144,Kapaa,US,78.78,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
149,Mahebourg,MU,82.69,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
151,Rock Sound,BS,79.75,overcast clouds,24.9,-76.2,Rock Sound Club
154,Mwinilunga,ZM,75.81,clear sky,-11.7358,24.4293,Kwakuwahi Lodge
161,Moussoro,TD,85.26,clear sky,13.6408,16.4901,Hôtel Salama
163,Mount Gambier,AU,76.91,broken clouds,-37.8333,140.7667,The Commodore
164,Igbo Ora,NG,76.44,scattered clouds,7.4333,3.2833,Pinkbell Inn
165,Victoria,HK,84.04,clear sky,22.2855,114.1577,Mini Hotel Central
167,Buala,SB,81.48,light rain,-8.145,159.5921,Maringe Lagoon Lodge
171,Meulaboh,ID,82.94,overcast clouds,4.1363,96.1285,Kost Pria
192,Nisia Floresta,BR,79.18,scattered clouds,-6.0911,-35.2086,Rancho Crepusculo
195,Kulhudhuffushi,MV,81.5,overcast clouds,6.6221,73.07,Haajy Guest House 1
200,Saint-Philippe,RE,83.48,clear sky,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
203,Souillac,MU,82.78,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
206,Lazaro Cardenas,MX,75.76,overcast clouds,17.9583,-102.2,quinta antigua
210,Kavaratti,IN,82.49,moderate rain,10.5669,72.642,Hotels in Lakshadweep Islands
212,Ha Tinh,VN,84.52,broken clouds,18.3333,105.9,Phú Quý
219,Kudahuvadhoo,MV,82.11,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
221,Vaitape,PF,79.05,light rain,-16.5167,-151.75,Conrad Bora Bora Nui
224,Alofi,NU,75.09,overcast clouds,-19.0595,-169.9187,Taloa Heights
228,Gladstone,AU,78.73,broken clouds,-23.85,151.25,Highpoint International
230,Quelimane,MZ,87.3,broken clouds,-17.8786,36.8883,Hotel Flamingo
240,Dicabisagan,PH,83.07,scattered clouds,17.0818,122.4157,Nancy Montanes Bernardo
241,Beberibe,BR,80.64,few clouds,-4.1797,-38.1306,Villa Arte Pousada Morro Branco
245,Tura,IN,78.03,clear sky,25.5198,90.2201,Hotel RIKMAN Continental
247,Aswan,EG,76.3,clear sky,24.0934,32.907,Nuba Nile
253,Georgetown,MY,87.75,few clouds,5.4112,100.3354,Cititel Penang
255,Maragogi,BR,75.72,overcast clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
256,Lorengau,PG,83.14,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
257,Miri,MY,87.94,scattered clouds,4.4148,114.0089,"Mega Hotel, Miri"
259,Lianzhou,CN,83.7,broken clouds,24.7811,112.3825,Qingcheng Tourism Industry
260,Dakar,SN,76.08,overcast clouds,14.6937,-17.4441,Redface Studios Meublés
264,Mana,GF,78.12,scattered clouds,5.6592,-53.7767,LE SAMANA
266,Lisala,CD,76.62,overcast clouds,2.15,21.5167,Flat hôtel tozelaka
269,Yulin,CN,82.15,overcast clouds,22.6333,110.15,罗弟天海大厦
270,Kroya,ID,81.34,light rain,-7.6331,109.2461,RUSTANTO Fam
274,Bundaberg,AU,75.49,scattered clouds,-24.85,152.35,Takalvan Motel
278,Richards Bay,ZA,75.99,overcast clouds,-28.783,32.0377,BON Hotel Waterfront Richards Bay
283,Touros,BR,76.1,few clouds,-5.1989,-35.4608,INN NEW HORIZON
285,Mareeba,AU,81.45,few clouds,-17.0,145.4333,Trinity Plains Tourist Park
289,Parakou,BJ,76.51,overcast clouds,9.3372,2.6303,Benin Metropole Hotel
291,Auki,SB,80.13,overcast clouds,-8.7676,160.7034,Auki Motel
293,Porto Novo,BJ,75.02,overcast clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
296,Kimbe,PG,81.37,light rain,-5.5502,150.1429,Kimbe Bay Hotel
299,Pandharpur,IN,87.46,broken clouds,17.6667,75.3333,Pandharinath Lodge and Restaurant
300,Sola,VU,79.47,moderate rain,-13.8833,167.55,Leumerus Bungalows
301,Bacolod,PH,83.59,overcast clouds,10.6667,122.95,Planta Hotel & Residences
304,Baragaon,IN,85.98,haze,25.4333,82.8167,OYO 2952 Hotel K J International
307,Ahuimanu,US,77.94,few clouds,21.4447,-157.8378,Paradise Bay Resort
310,Xiamen,CN,80.65,clear sky,24.4798,118.0819,Xiamen Dongchen Hotel
312,Tabou,CI,77.88,clear sky,4.423,-7.3528,hotêl doufoulougou
316,Saint-Georges,GD,79.32,scattered clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
322,Tonj,SS,85.51,scattered clouds,7.2737,28.6822,Lakan Hotel
325,Kirakira,SB,80.89,few clouds,-10.4544,161.9205,SanBiz Lodge
328,Mataram,ID,79.61,overcast clouds,-8.5833,116.1167,Hotel Santika Mataram
331,Vanimo,PG,83.48,heavy intensity rain,-2.6741,141.3028,Vahmoneh Lodge Vanimo
332,Ternate,ID,84.58,overcast clouds,0.8,127.4,Sahid Bela Ternate Hotel
335,Dondo,MZ,88.54,clear sky,-19.6094,34.7431,Arco Iris
336,Marawi,PH,76.64,overcast clouds,7.9986,124.2928,Derogongan Residence
348,Kloulklubed,PW,84.79,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
352,Itoman,JP,75.4,broken clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
355,Serowe,BW,82.74,clear sky,-22.3833,26.7167,Hill View Inn
357,Marihatag,PH,84.52,overcast clouds,8.7936,126.2969,Mariner's Place & Resort
360,Kaduna,NG,77.04,overcast clouds,10.5222,7.4383,HAMDALA HOTEL
361,Porbandar,IN,88.29,scattered clouds,21.6422,69.6093,Lords Inn Porbandar
365,Kibala,TD,75.15,clear sky,9.1104,18.3463,hotel safari
368,Cockburn Town,TC,82.72,few clouds,21.4612,-71.1419,Osprey Beach Hotel
371,Santa Marta,CO,78.49,scattered clouds,11.2408,-74.199,Casa de Isabella
379,Mokolo,CM,78.69,broken clouds,10.7398,13.8019,Diwa Hôtel
380,Bathsheba,BB,81.21,scattered clouds,13.2167,-59.5167,Atlantis Hotel
381,Mecca,SA,86.74,clear sky,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
382,Loa Janan,ID,84.76,overcast clouds,-0.583,117.095,PONDOK COKLAT HATTA CAB. LOA JANAN ILIR
384,Matara,LK,78.3,light rain,5.9485,80.5353,Amaloh Boutique Resort
385,Ramon Castilla,PE,77.25,light rain,-4.2569,-69.9594,Cabañas La Manigua
386,Bireun,ID,81.48,overcast clouds,5.203,96.7009,Rumah Bp.AR. ISMAIL
392,Kawalu,ID,80.02,overcast clouds,-7.3817,108.2082,KOSAN UNGU UNSIK
409,Sinnamary,GF,77.45,clear sky,5.3833,-52.95,ALETHEIA Appartement Sinnamary
410,Qui Nhon,VN,81.3,overcast clouds,13.7667,109.2333,Hoang Yen Canary Hotel
411,Axim,GH,78.8,clear sky,4.8699,-2.2405,Axim Beach Resort And Spa
412,Beira,MZ,85.17,scattered clouds,-19.8436,34.8389,Beira Terrace Hotel
