City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Cape Town,ZA,-33.9258,18.4232,66.11,65,75,3.0,broken clouds
1,Paamiut,GL,61.994,-49.6678,24.69,78,88,9.51,overcast clouds
2,Bouca,CF,6.5105,18.2733,78.01,70,95,3.47,overcast clouds
3,Matiari,PK,25.5961,68.4467,84.2,16,99,8.81,overcast clouds
4,Padina,RS,45.1181,20.7272,59.77,94,100,8.75,moderate rain
5,Rikitea,PF,-23.1203,-134.9692,71.65,83,100,8.34,overcast clouds
6,Taoudenni,ML,22.6783,-3.9836,76.24,21,98,6.2,overcast clouds
7,Hermanus,ZA,-34.4187,19.2345,63.9,68,100,9.26,overcast clouds
8,Hilo,US,19.7297,-155.09,74.28,88,20,3.44,light rain
9,Tuktoyaktuk,CA,69.4541,-133.0374,20.88,89,99,15.61,overcast clouds
10,Puerto Ayora,EC,-0.7393,-90.3518,67.8,85,47,7.27,scattered clouds
11,Tres Arroyos,AR,-38.3739,-60.2798,41.22,90,3,5.21,clear sky
12,Lavrentiya,RU,65.5833,-171.0,12.4,83,100,10.58,overcast clouds
13,Yellowknife,CA,62.456,-114.3525,30.29,100,1,6.91,clear sky
14,Waingapu,ID,-9.6567,120.2641,88.5,63,100,9.93,overcast clouds
15,Bluff,NZ,-46.6,168.3333,53.8,68,100,13.09,overcast clouds
16,Tomatlan,MX,19.9333,-105.25,73.38,96,100,3.44,overcast clouds
17,Constitucion,CL,-35.3333,-72.4167,46.58,66,0,5.88,clear sky
18,Port Alfred,ZA,-33.5906,26.891,68.14,74,100,8.63,overcast clouds
19,Pafos,CY,34.7667,32.4167,71.51,43,0,6.91,clear sky
20,Barrow,US,71.2906,-156.7887,15.82,73,1,16.11,clear sky
21,Bilma,NE,18.6853,12.9164,80.56,15,1,6.82,clear sky
22,Faanui,PF,-16.4833,-151.75,79.11,76,26,12.66,light rain
23,Yumen,CN,40.2833,97.2,29.21,34,100,12.46,overcast clouds
24,Kodiak,US,57.79,-152.4072,35.47,73,1,7.11,clear sky
25,Aiquile,BO,-18.2041,-65.1807,60.3,78,100,3.29,overcast clouds
26,Tautira,PF,-17.7333,-149.15,78.82,76,50,11.95,light rain
27,Leningradskiy,RU,69.3833,178.4167,-5.4,96,96,5.77,overcast clouds
